Date,johor_ladang_lim_lim,johor_sg_tiram_di_kg_bukit_dagang,johor_sg_tiram_di_klinik_kesihatan_ulu_tiram,johor_layang_layang,johor_bukit_besar,johor_kg_semanggar,johor_ladang_nam_heng,johor_ladang_pekan,johor_lepau,johor_pasak,johor_sg_johor_di_kota_tinggi,johor_sg_kepala_orang_di_kg_sri_jaya,johor_sg_linggiu_di_linggiu,johor_sg_sembilang_di_kg_sg_sembilang,johor_ulu_sebol,johor_ladang_sedenak,johor_sg_siam_di_kg_sg_siam,johor_sg_siku_di_kg_murni_jaya
2015-07-28,,,,0.0,0.0,,,,,,2.0,,,,0.0,,,0.0
2015-07-29,,,,7.0,0.0,,,,,,1.0,,,,3.0,,,2.0
2015-07-30,,,,3.0,0.0,,,,,,0.0,,,,36.0,,,12.0
2015-07-31,,,,6.0,10.0,,,,,,1.0,,,,1.0,,,6.0
2015-08-01,,,,4.0,13.0,,,,,,9.0,,,,10.0,,,10.0
2015-08-02,,,,,,,,,,,10.0,,,,,,,0.0
2015-08-03,,,,,25.0,,,,,,19.0,,,,,,,9.0
2015-08-04,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-08-05,,,,0.0,0.0,,,,,,11.0,,,,0.0,,,16.0
2015-08-06,,,,9.0,1.0,,,,,,0.0,,,,23.0,,,2.0
2015-08-07,,,,0.0,12.0,,,,,,3.0,,,,15.0,,,9.0
2015-08-08,,,,0.0,,,,,,,0.0,,,,0.0,,,2.0
2015-08-09,,,,1.0,,,,,,,0.0,,,,0.0,,,1.0
2015-08-10,,,,3.0,,,,,,,6.0,,,,0.0,,,0.0
2015-08-11,,,,42.0,,,,,,,1.0,,,,12.0,,,91.0
2015-08-12,,,,42.0,150.0,,,,,,1.0,,,,0.0,,,1.0
2015-08-13,,,,6.0,1.0,,,,,,0.0,,,,0.0,,,1.0
2015-08-14,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,2.0
2015-08-15,,,,5.0,,,,,,,0.0,,,,0.0,,,2.0
2015-08-16,,,,5.0,,,,,,,13.0,,,,0.0,,,1.0
2015-08-17,,,,3.0,,,,,,,0.0,,,,0.0,,,1.0
2015-08-18,,,,3.0,,,,,,,0.0,,,,0.0,,,0.0
2015-08-19,,,,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-08-20,,,,0.0,1.0,,,,,,0.0,,,,0.0,,,0.0
2015-08-21,,,,24.0,20.0,,,,,,3.0,,,,11.0,,,12.0
2015-08-22,,,,24.0,20.0,,,,,,7.0,,,,0.0,,,0.0
2015-08-23,,,,0.0,0.0,,,,,,0.0,,,,5.0,,,0.0
2015-08-24,,,,0.0,0.0,,,,,,0.0,,,,17.0,,,1.0
2015-08-25,,,,13.0,1.0,,,,,,1.0,,,,2.0,,,0.0
2015-08-26,,,,13.0,13.0,,,,,,21.0,,,,21.0,,,7.0
2015-08-27,,,,1.0,13.0,,,,,,0.0,,,,0.0,,,0.0
2015-08-28,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-08-29,,,,7.0,0.0,,,,,,0.0,,,,0.0,,,5.0
2015-08-30,,,,7.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-08-31,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,6.0
2015-09-01,,,,4.0,0.0,,,,,,0.0,,,,1.0,,,1.0
2015-09-02,,,0.0,4.0,0.0,,,,,,0.0,,,,0.0,,,2.0
2015-09-03,,,0.0,3.0,2.0,,,,,,6.0,,,,0.0,,,5.0
2015-09-04,,,1.0,6.0,21.0,,,,,,16.0,,,,0.0,,,2.0
2015-09-05,,,1.0,20.0,21.0,,,,,,0.0,,,,0.0,,,27.0
2015-09-06,,,1.0,20.0,1.0,,,,,,0.0,,,,0.0,,,0.0
2015-09-07,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-09-08,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-09-09,,,9.0,5.0,18.0,,,,,,1.0,,,,6.0,,,19.0
2015-09-10,,,0.0,5.0,18.0,,,,,,0.0,,,,13.0,,,1.0
2015-09-11,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-09-12,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-09-13,,,49.0,0.0,0.0,,,,,,32.0,,,,0.0,,,0.0
2015-09-14,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-09-15,,,24.0,3.0,64.0,,,,,,19.0,,,,2.0,,,2.0
2015-09-16,,,44.0,37.0,64.0,,,,,,30.0,,,,16.0,,,9.0
2015-09-17,,,1.0,37.0,11.0,,,,,,0.0,,,,0.0,,,0.0
2015-09-18,,,0.0,,,,,,,,0.0,,,,,,,0.0
2015-09-19,,,0.0,,,,,,,,,,,,,,,0.0
2015-09-20,,,0.0,,,,,,,,,,,,,,,0.0
2015-09-21,,,0.0,,,,,,,,,,,,,,,0.0
2015-09-22,,,1.0,,,,,,,,,,,,,,,52.0
2015-09-23,,,0.0,,,,,,,,,,,,,,,0.0
2015-09-24,,,0.0,,,,,,,,,,,,,,,0.0
2015-09-25,,,0.0,,,,,,,,,,,,,,,0.0
2015-09-26,,,0.0,,,,,,,,,,,,,,,0.0
2015-09-27,,,3.0,,,,,,,,,,,,,,,0.0
2015-09-28,,,20.0,,,,,,,,,,,,,,,18.0
2015-09-29,,,1.0,,,,,,,,,,,,,,,0.0
2015-09-30,,,19.0,,,,,,,,,,,,,,,1.0
2015-10-01,,,0.0,0.0,29.0,,,,,,0.0,,,,4.0,,,7.0
2015-10-02,,,3.0,,8.0,,,,,,0.0,,,,0.0,,,2.0
2015-10-03,,,0.0,,0.0,,,,,,0.0,,,,9.0,,,0.0
2015-10-04,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-10-05,,,1.0,,0.0,,,,,,2.0,,,,0.0,,,1.0
2015-10-06,,,0.0,,1.0,,,,,,5.0,,,,9.0,,,0.0
2015-10-07,,,0.0,2.0,1.0,,,,,,4.0,,,,2.0,,,0.0
2015-10-08,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-09,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-10,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-11,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-12,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-13,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-14,,,0.0,0.0,,,,,,,1.0,,,,0.0,,,3.0
2015-10-15,,,0.0,13.0,,,,,,,0.0,,,,0.0,,,16.0
2015-10-16,,,0.0,13.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-17,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-18,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-19,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-20,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-21,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-22,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-23,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-24,,,6.0,9.0,,,,,,,0.0,,,,2.0,,,0.0
2015-10-25,,,1.0,9.0,,,,,,,0.0,,,,8.0,,,0.0
2015-10-26,,,0.0,2.0,,,,,,,0.0,,,,0.0,,,2.0
2015-10-27,,,0.0,16.0,,,,,,,0.0,,,,4.0,,,15.0
2015-10-28,,,13.0,16.0,,,,,,,16.0,,,,3.0,,,6.0
2015-10-29,,,0.0,5.0,,,,,,,0.0,,,,0.0,,,0.0
2015-10-30,,,0.0,24.0,,,,,,,0.0,,,,21.0,,,4.0
2015-10-31,,,0.0,24.0,,,,,,,8.0,,,,14.0,,,2.0
2015-11-01,,,20.0,4.0,,,,,,,30.0,,,,1.0,,,24.0
2015-11-02,,,34.0,0.0,,,,,,,17.0,,,,0.0,,,33.0
2015-11-03,,,13.0,0.0,,,,,,,8.0,,,,0.0,,,16.0
2015-11-04,,,7.0,0.0,,,,,,,0.0,,,,0.0,,,23.0
2015-11-05,,,6.0,0.0,,,,,,,0.0,,,,0.0,,,0.0
2015-11-06,,,27.0,0.0,,,,,,,2.0,,,,2.0,,,0.0
2015-11-07,,,31.0,30.0,,,,,,,4.0,,,,0.0,,,56.0
2015-11-08,,,0.0,30.0,,,,,,,7.0,,,,5.0,,,27.0
2015-11-09,,,0.0,9.0,,,,,,,0.0,,,,0.0,,,0.0
2015-11-10,,,5.0,1.0,,,,,,,0.0,,,,30.0,,,5.0
2015-11-11,,,1.0,13.0,,,,,,,12.0,,,,3.0,,,28.0
2015-11-12,,,54.0,13.0,18.0,,,,,,8.0,,,,10.0,,,1.0
2015-11-13,,,1.0,1.0,4.0,,,,,,0.0,,,,13.0,,,1.0
2015-11-14,,,0.0,0.0,1.0,,,,,,0.0,,,,0.0,,,1.0
2015-11-15,,,16.0,24.0,3.0,,,,,,12.0,,,,22.0,,,15.0
2015-11-16,,,8.0,41.0,84.0,,,,,,16.0,,,,21.0,,,64.0
2015-11-17,,,1.0,41.0,1.0,,,,,,6.0,,,,21.0,,,1.0
2015-11-18,,,0.0,1.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-11-19,,,1.0,3.0,0.0,,0.0,,,,0.0,,,,0.0,,,0.0
2015-11-20,,,11.0,0.0,13.0,,,,,,0.0,,,,0.0,,,7.0
2015-11-21,,,2.0,0.0,11.0,,,,,,0.0,,,,3.0,,,0.0
2015-11-22,,,0.0,0.0,0.0,,,,,,1.0,,,,2.0,,,0.0
2015-11-23,,,5.0,4.0,5.0,,,,,,41.0,,,,1.0,,,2.0
2015-11-24,,,77.0,21.0,21.0,,,,,,11.0,,,,21.0,,,11.0
2015-11-25,,,12.0,34.0,26.0,,,,,,3.0,,,,14.0,,,16.0
2015-11-26,,,2.0,37.0,5.0,,,,,,11.0,,,,1.0,,,1.0
2015-11-27,,,0.0,6.0,1.0,,,,,,0.0,,,,0.0,,,1.0
2015-11-28,,,1.0,43.0,4.0,,,,,,15.0,,,,0.0,,,72.0
2015-11-29,,,9.0,43.0,0.0,,,,,,25.0,,,,0.0,,,0.0
2015-11-30,,,12.0,40.0,108.0,,,,,,47.0,,,,40.0,,,48.0
2015-12-01,,,30.0,40.0,8.0,,,,,,17.0,,,,1.0,,,29.0
2015-12-02,,,15.0,24.0,2.0,,,,,,19.0,,,,3.0,,,0.0
2015-12-03,,,1.0,6.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-12-04,,,0.0,40.0,0.0,,,,,,0.0,,,,0.0,,,11.0
2015-12-05,,,25.0,40.0,1.0,,,,,,0.0,,,,0.0,,,5.0
2015-12-06,,,18.0,6.0,13.0,,,,,,0.0,,,,14.0,,,13.0
2015-12-07,,,1.0,6.0,4.0,,,,,,0.0,,,,0.0,,,1.0
2015-12-08,,,1.0,15.0,7.0,,,,,,1.0,,,,0.0,,,1.0
2015-12-09,,,8.0,34.0,15.0,,,,,,27.0,,,,7.0,,,57.0
2015-12-10,,,11.0,34.0,0.0,,,,,,11.0,,,,3.0,,,15.0
2015-12-11,,,50.0,33.0,9.0,,218.0,,0.0,,36.0,,,,7.0,,,4.0
2015-12-12,,,7.0,33.0,9.0,,34.0,,68.0,,45.0,,,,5.0,,,23.0
2015-12-13,,,26.0,23.0,42.0,,44.0,,24.0,,35.0,,,,33.0,,,86.0
2015-12-14,,,1.0,23.0,2.0,,0.0,,0.0,,0.0,,,,0.0,,,1.0
2015-12-15,,,0.0,7.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0
2015-12-16,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0
2015-12-17,,,0.0,16.0,0.0,,,,0.0,,0.0,,,,1.0,,,1.0
2015-12-18,,,9.0,16.0,0.0,,,,0.0,,0.0,,,,0.0,,,1.0
2015-12-19,,,0.0,,,,,,0.0,,,,,,,,,0.0
2015-12-20,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2015-12-21,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2015-12-22,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0
2015-12-23,,,14.0,0.0,1.0,,,,0.0,,1.0,,,,0.0,,,8.0
2015-12-24,,,1.0,0.0,0.0,,,,5.0,,0.0,,,,0.0,,,16.0
2015-12-25,,,3.0,19.0,10.0,,,,7.0,,0.0,,,,16.0,,,2.0
2015-12-26,,,2.0,19.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0
2015-12-27,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0
2015-12-28,,,4.0,0.0,0.0,,,,0.0,,1.0,,,,0.0,,,0.0
2015-12-29,,,111.0,6.0,40.0,,,,0.0,,62.0,,,,18.0,,,2.0
2015-12-30,,,1.0,6.0,0.0,,,,10.0,,30.0,,0.0,,0.0,,,0.0
2015-12-31,,,4.0,30.0,31.0,,,,54.0,,12.0,,14.0,,15.0,,,13.0
2016-01-01,,,23.0,31.0,44.0,,,,8.0,,21.0,,38.0,,19.0,,,34.0
2016-01-02,,,4.0,23.0,1.0,,,,66.0,,22.0,,9.0,,2.0,,,1.0
2016-01-03,,,4.0,1.0,7.0,,,,12.0,,5.0,,8.0,,4.0,,,3.0
2016-01-04,,,0.0,4.0,0.0,,,,0.0,,4.0,,0.0,,1.0,,,1.0
2016-01-05,,,0.0,13.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-06,,,0.0,13.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-07,,,0.0,8.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-08,,,0.0,1.0,0.0,,,,0.0,,0.0,,2.0,,0.0,,,0.0
2016-01-09,,,0.0,1.0,0.0,,,,0.0,,1.0,,0.0,,0.0,,,0.0
2016-01-10,,,0.0,1.0,0.0,,,,1.0,,0.0,,0.0,,0.0,,,0.0
2016-01-11,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-12,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-13,,,0.0,1.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-14,,,0.0,1.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-15,,,33.0,4.0,10.0,,,,6.0,,0.0,,12.0,,2.0,,,7.0
2016-01-16,,,32.0,4.0,0.0,,,,0.0,,1.0,,1.0,,4.0,,,4.0
2016-01-17,,,11.0,2.0,11.0,,,,0.0,,9.0,,2.0,,0.0,,,29.0
2016-01-18,,,0.0,14.0,19.0,,,,0.0,,0.0,,6.0,,0.0,,,14.0
2016-01-19,,,0.0,14.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-20,,,1.0,0.0,0.0,,,,1.0,,0.0,,7.0,,8.0,,,2.0
2016-01-21,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-22,,,0.0,3.0,1.0,,,,0.0,,0.0,,0.0,,0.0,,,2.0
2016-01-23,,,0.0,3.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,4.0
2016-01-24,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,1.0
2016-01-25,,,10.0,15.0,27.0,,,,10.0,,8.0,,9.0,,8.0,,,7.0
2016-01-26,,,9.0,15.0,20.0,,,,4.0,,29.0,,15.0,,15.0,,,10.0
2016-01-27,,,2.0,7.0,0.0,,,,2.0,,4.0,,0.0,,0.0,,,1.0
2016-01-28,,,0.0,2.0,25.0,,,,10.0,,0.0,,0.0,,0.0,,,1.0
2016-01-29,,,0.0,3.0,0.0,,,,2.0,,9.0,,0.0,,0.0,,,0.0
2016-01-30,,,0.0,3.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-01-31,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,2.0
2016-02-01,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-02-02,,,17.0,0.0,0.0,,16.0,,44.0,,36.0,,1.0,,0.0,,,0.0
2016-02-03,,,0.0,0.0,0.0,,0.0,,2.0,,0.0,,0.0,,0.0,,,0.0
2016-02-04,,,2.0,5.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,11.0
2016-02-05,,,0.0,5.0,0.0,,0.0,,2.0,,0.0,,11.0,,2.0,,,1.0
2016-02-06,,,9.0,3.0,0.0,,14.0,,4.0,,9.0,,13.0,,4.0,,,7.0
2016-02-07,,,29.0,20.0,53.0,,30.0,,51.0,,33.0,,12.0,,10.0,,,7.0
2016-02-08,,,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-02-09,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-02-10,,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,,0.0,,,0.0
2016-02-11,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,,0.0
2016-02-12,,,20.0,0.0,0.0,,0.0,,,,17.0,,0.0,,0.0,,,0.0
2016-02-13,,,1.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,,,0.0
2016-02-14,,,0.0,12.0,5.0,,,,,,0.0,,,,1.0,,,43.0
2016-02-15,,,0.0,12.0,0.0,,,,,,0.0,,0.0,,0.0,,,0.0
2016-02-16,,,0.0,1.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-02-17,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-02-18,,,0.0,9.0,0.0,,,,,,2.0,,,,0.0,,,7.0
2016-02-19,,,93.0,,,,,,,,,,,,47.0,,,86.0
2016-02-20,,,3.0,,,,,,,,3.0,,,,15.0,,,8.0
2016-02-21,,,0.0,5.0,,,,,,,0.0,,,,0.0,,,0.0
2016-02-22,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-02-23,,,0.0,4.0,0.0,,,,,,0.0,,,,0.0,,,2.0
2016-02-24,,,24.0,4.0,12.0,,,,,,59.0,,,,6.0,,,5.0
2016-02-25,,,1.0,2.0,0.0,,,,,,0.0,,,,1.0,,,0.0
2016-02-26,,,0.0,1.0,1.0,,,,,,0.0,,,,0.0,,,0.0
2016-02-27,,,0.0,7.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-02-28,,,0.0,7.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-02-29,,,0.0,1.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-03-01,,,0.0,2.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-03-02,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-03-03,,,0.0,1.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-03-04,,,1.0,8.0,0.0,,,,,,2.0,,,,1.0,,,0.0
2016-03-05,,,0.0,8.0,0.0,,,,,,0.0,,,,1.0,,,0.0
2016-03-06,,,0.0,4.0,0.0,,,,,,0.0,,,,0.0,,,1.0
2016-03-07,,,1.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2016-03-08,,,1.0,1.0,0.0,,1.0,,1.0,,0.0,,1.0,,5.0,,,4.0
2016-03-09,,,0.0,1.0,0.0,,1.0,,1.0,,0.0,,1.0,,0.0,,,0.0
2016-03-10,,,0.0,4.0,0.0,,0.0,,0.0,,0.0,,2.0,,0.0,,,5.0
2016-03-11,,,0.0,4.0,0.0,,0.0,,0.0,,0.0,,2.0,,0.0,,,1.0
2016-03-12,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-03-13,,,1.0,,,,0.0,,0.0,,,,2.0,,,,,31.0
2016-03-14,,,0.0,10.0,0.0,,0.0,,2.0,,0.0,,2.0,,8.0,,,1.0
2016-03-15,,,0.0,10.0,0.0,,0.0,,2.0,,0.0,,0.0,,0.0,,,0.0
2016-03-16,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-03-17,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-03-18,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-03-19,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
2016-03-20,,,3.0,0.0,1.0,,0.0,,0.0,,0.0,,8.0,,0.0,,,3.0
2016-03-21,,,0.0,6.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,16.0
2016-03-22,,,10.0,6.0,1.0,,82.0,,18.0,,61.0,,2.0,,0.0,,,0.0
2016-03-23,,,1.0,0.0,0.0,,82.0,,18.0,,0.0,,2.0,,0.0,,,0.0
2016-03-24,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,1.0
2016-03-25,,,43.0,108.0,9.0,,0.0,,0.0,,0.0,,2.0,,7.0,,,108.0
2016-03-26,,,0.0,108.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0
